TimeStamp,sleep_stage,sleep_stage_int,confidence,epoch
25.5196,W,0,0.9998706490757832,0
55.5196,W,0,0.9999346777162269,1
85.5196,W,0,0.9999411144838751,2
115.5196,W,0,0.9998287609846841,3
145.5196,W,0,0.9994999050361597,4
175.5196,W,0,0.9995070242124886,5
205.5196,W,0,0.9997021702583458,6
235.5196,W,0,0.9999016628336902,7
265.5196,W,0,0.9993802995650184,8
295.5196,W,0,0.9998322000868526,9
325.5196,W,0,0.9997508425576103,10
355.5196,W,0,0.9995322332933684,11
385.5196,W,0,0.9974219763879871,12
415.5196,W,0,0.9890708486711622,13
445.5196,W,0,0.9873817990206236,14
475.5196,W,0,0.9934419987688394,15
505.5196,W,0,0.9343521479581961,16
535.5196,W,0,0.5341602031757416,17
565.5196,W,0,0.5518591030551,18
595.5196,W,0,0.9203214092022161,19
625.5196,W,0,0.8574301723487052,20
655.5196,W,0,0.9046066351402913,21
685.5196,W,0,0.9617614836610825,22
715.5196,W,0,0.9396484752789879,23
745.5196,W,0,0.9591529605052875,24
775.5196,W,0,0.9887999712813382,25
805.5196,W,0,0.9956690877065707,26
835.5196,W,0,0.9811905383608474,27
865.5196,W,0,0.9904480226345139,28
895.5196,W,0,0.9970640977330584,29
925.5196,W,0,0.9978186756207601,30
955.5196,W,0,0.9974705533504561,31
985.5196,W,0,0.9931708834098378,32
1015.5196,W,0,0.9864173745665644,33
1045.5196,W,0,0.9957992670554175,34
1075.5196,W,0,0.996401632350232,35
1105.5196,W,0,0.9983665052876717,36
1135.5196,W,0,0.9971839597894581,37
1165.5196,W,0,0.9977346826687556,38
1195.5196,W,0,0.9978263852019051,39
1225.5196,W,0,0.9898290774724683,40
1255.5196,W,0,0.9946840976513883,41
1285.5196,W,0,0.9432707249638861,42
1315.5196,W,0,0.9950334693937737,43
1345.5196,W,0,0.8981154490165135,44
1375.5196,W,0,0.8171207741330323,45
1405.5196,W,0,0.6264361977994719,46
1435.5196,W,0,0.60878469414227,47
1465.5196,N1,1,0.5904364218529624,48
1495.5196,N1,1,0.5625202597568465,49
1525.5196,W,0,0.5079885675972405,50
1555.5196,W,0,0.48813082962384446,51
1585.5196,W,0,0.3969318895522201,52
1615.5196,N2,2,0.4575067305168198,53
1645.5196,W,0,0.9411823232196604,54
1675.5196,N2,2,0.580884081661019,55
1705.5196,N2,2,0.7276809598784512,56
1735.5196,N2,2,0.692844863759147,57
1765.5196,N2,2,0.7464615278293906,58
1795.5196,N2,2,0.8280802057166511,59
1825.5196,N2,2,0.8245110822785032,60
1855.5196,N2,2,0.7195680392754688,61
1885.5196,N2,2,0.8071973263555502,62
1915.5196,N2,2,0.6980947963301333,63
1945.5196,N2,2,0.5965745010854273,64
1975.5196,N2,2,0.7349605882274078,65
2005.5196,N3,3,0.4767607613296072,66
2035.5196,N3,3,0.4563334015135447,67
2065.5196,N2,2,0.4918402030571073,68
2095.5196,N2,2,0.4638772163112971,69
2125.5196,N2,2,0.4626028954831652,70
2155.5196,N3,3,0.4166817343185636,71
2185.5196,N2,2,0.4615400796638814,72
2215.5196,N2,2,0.546501932487627,73
2245.5196,N2,2,0.47645005680469166,74
2275.5196,N3,3,0.628028439809714,75
2305.5196,N2,2,0.4288684668132758,76
2335.5196,N2,2,0.4914047721117382,77
2365.5196,N3,3,0.4347247815565923,78
2395.5196,N3,3,0.7047306250316658,79
2425.5196,N2,2,0.3750306458234885,80
2455.5196,N3,3,0.4935416201339277,81
2485.5196,N3,3,0.8192705632952489,82
2515.5196,N3,3,0.5668695318376237,83
2545.5196,N3,3,0.764955387761339,84
2575.5196,N2,2,0.42344690723885087,85
2605.5196,N2,2,0.3676530617986246,86
2635.5196,W,0,0.406568229988889,87
2665.5196,W,0,0.44664896544732796,88
2695.5196,W,0,0.41957520300480533,89
2725.5196,N3,3,0.3428869532940616,90
2755.5196,W,0,0.6435197063186273,91
2785.5196,N3,3,0.4683925887487325,92
2815.5196,N2,2,0.42376169042341466,93
2845.5196,N3,3,0.4124467070564534,94
2875.5196,N3,3,0.4432684691063989,95
2905.5196,N2,2,0.4431651867661593,96
2935.5196,N2,2,0.7781528562204315,97
2965.5196,N2,2,0.680473830964603,98
2995.5196,N2,2,0.7876391727469275,99
3025.5196,N2,2,0.7716725369696817,100
3055.5196,N2,2,0.6868369748544453,101
3085.5196,N2,2,0.506645312715788,102
3115.5196,W,0,0.6887194036319909,103
3145.5196,W,0,0.37357194264924326,104
3175.5196,W,0,0.42662551694638173,105
3205.5196,N2,2,0.4222092884070245,106
3235.5196,N2,2,0.6732912729020198,107
3265.5196,N2,2,0.8060746280932484,108
3295.5196,N2,2,0.9105064101940442,109
3325.5196,N2,2,0.8566981080109246,110
3355.5196,N2,2,0.9092366147086114,111
3385.5196,N2,2,0.8901028032532706,112
3415.5196,N2,2,0.7556185991601693,113
3445.5196,N2,2,0.8738120038964404,114
3475.5196,N2,2,0.6263078023386038,115
3505.5196,N2,2,0.615519390772345,116
3535.5196,N2,2,0.5097888428249084,117
3565.5196,N3,3,0.5028857136719878,118
3595.5196,N3,3,0.5365653932807068,119
3625.5196,N3,3,0.5779368452808151,120
3655.5196,N3,3,0.6747018459855606,121
3685.5196,N3,3,0.6082153761842664,122
3715.5196,N3,3,0.7968792924948962,123
3745.5196,N3,3,0.7531082661584391,124
3775.5196,N3,3,0.8790294496539228,125
3805.5196,N3,3,0.7558140144304144,126
3835.5196,N3,3,0.8718263178720652,127
3865.5196,N3,3,0.8929106567426369,128
3895.5196,N3,3,0.9426283215658039,129
