,Delta,Theta,Alpha,Sigma,Beta,Gamma
Wake,0.8304050907822514,0.06836452169228673,0.06761151145901496,0.012312351500010916,0.016706650367643995,0.0045998741987921385
N1,0.6844928323134825,0.1517652139982023,0.09766881788379742,0.03165195682935381,0.02929652955405368,0.005124649421110002
N2,0.8143154372266787,0.09968515570483061,0.060289888764103336,0.013483079916508704,0.010179720578088193,0.0020467178097911152
N3,0.925496517873583,0.043170470068307425,0.025485073114871016,0.0029445859904239442,0.0023205208865552827,0.0005828320662593371
REM,0.7252926040108922,0.14432582957356585,0.0738459687157022,0.022093457838034892,0.029358034373115845,0.00508410548868896
