TimeStamp, ax, ay, az, gx, gy, gz, mx, my, mz 
hh:mm:ss, mg/LSB, mg/LSB, mg/LSB, mdps/LSB, mdps/LSB, mdps/LSB, mgauss/LSB, mgauss/LSB, mgauss/LSB
19901880,-789,192,16863,45,-110,-112,-243,37,-197
19902380,-801,205,16899,42,-107,-95,-244,32,-210
19902880,-772,162,16849,50,-116,-100,-249,33,-189
19903380,-764,199,16846,31,-102,-95,-249,31,-197
19903880,-773,181,16875,47,-121,-102,-249,41,-217
19904380,-766,217,16852,54,-133,-106,-249,33,-207
19904880,-780,211,16875,36,-111,-100,-254,27,-196
19905380,-762,201,16898,46,-110,-81,-260,32,-216
19905880,-796,162,16861,47,-117,-98,-248,40,-206
19906380,-739,201,16904,38,-112,-94,-246,34,-194
19906880,-772,231,16817,44,-107,-102,-254,36,-193
19907380,-779,200,16823,50,-114,-113,-246,37,-197
19907880,-796,196,16842,53,-124,-109,-253,33,-206
19908380,-763,187,16851,46,-118,-107,-250,34,-197
19908880,-772,204,16850,35,-109,-104,-255,43,-197
19909380,-815,211,16869,48,-105,-100,-246,42,-214
19909880,-772,205,16875,48,-120,-103,-256,35,-207
19910380,-767,213,16850,32,-108,-90,-258,27,-199
19910880,-774,198,16866,42,-111,-101,-252,31,-219
19911380,-778,217,16856,40,-118,-90,-249,35,-198
19911880,-792,186,16910,45,-109,-87,-244,37,-188
19912380,-749,254,16851,52,-109,-100,-248,30,-198
19912880,-780,210,16885,33,-108,-102,-241,34,-187
19913380,-756,197,16843,38,-118,-98,-244,36,-193
19913880,-770,221,16857,37,-120,-88,-251,36,-209
19914380,-763,150,16839,34,-120,-87,-247,34,-198
19914880,-774,193,16848,54,-115,-93,-248,34,-211
19915380,-763,218,16858,39,-113,-96,-254,33,-196
19915880,-747,210,16870,45,-108,-100,-250,35,-198
19916380,-767,209,16901,41,-106,-99,-253,39,-188
19916880,-780,171,16854,50,-108,-94,-247,32,-193
19917380,-764,206,16871,37,-104,-95,-235,37,-190
19917880,-745,162,16831,50,-116,-105,-269,36,-208
19918380,-776,221,16853,51,-121,-101,-258,35,-209
19918880,-810,204,16872,41,-113,-91,-257,36,-208
19919380,-769,219,16869,47,-108,-109,-243,37,-196
19919880,-775,193,16872,43,-107,-103,-252,35,-217
19920380,-698,237,16877,43,-106,-97,-250,33,-205
19920880,-746,219,16830,41,-117,-106,-252,44,-200
19921380,-791,235,16855,49,-108,-114,-261,36,-208
19921880,-800,203,16887,39,-115,-102,-251,36,-188
19922380,-795,211,16847,43,-110,-103,-256,44,-207
19922880,-749,193,16850,44,-121,-112,-252,37,-193
19923380,-769,169,16835,62,-124,-98,-241,37,-199
19923880,-772,190,16858,46,-119,-110,-249,38,-191
19924380,-737,229,16863,38,-104,-107,-247,36,-194
19924880,-785,217,16832,43,-109,-93,-255,39,-199
19925380,-776,211,16792,46,-118,-95,-245,29,-210
19925880,-783,216,16845,47,-113,-105,-260,39,-198
19926380,-776,197,16850,45,-114,-102,-254,37,-200
19926880,-754,194,16836,43,-116,-98,-245,36,-207
19927380,-782,191,16884,47,-114,-104,-252,28,-184
19927880,-748,209,16841,48,-110,-117,-252,32,-190
19928380,-759,190,16830,40,-127,-110,-252,33,-198
