TimeStamp, ax, ay, az, gx, gy, gz, mx, my, mz 
hh:mm:ss, mg/LSB, mg/LSB, mg/LSB, mdps/LSB, mdps/LSB, mdps/LSB, mgauss/LSB, mgauss/LSB, mgauss/LSB
5874769,6.771,2.44,-1001.132,-796.25,743.75,1207.5,0.0,0.0,0.0
5875185,4.697,6.649,-999.912,-743.75,892.5,1225.0,0.0,0.0,0.0
5875670,11.834,4.087,-1006.073,-761.25,1050.0,1251.25,0.0,0.0,0.0
5876170,5.124,16.592,-1009.855,-778.75,831.25,1041.25,0.0,0.0,0.0
5876670,7.1979999999999995,1.525,-1003.328,-945.0,612.5,1452.5,0.0,0.0,0.0
5877170,8.906,5.063,-1001.132,-761.25,945.0,1251.25,0.0,0.0,0.0
5877670,7.991,13.969,-1014.491,-1076.25,761.25,1111.25,0.0,0.0,0.0
5878170,3.416,3.721,-995.0319999999999,-726.25,1006.25,1338.75,0.0,0.0,0.0
5878769,15.189,-0.5489999999999999,-1006.5,-840.0,866.25,1172.5,0.0,0.0,0.0
5879185,1.22,4.026,-999.7289999999999,-822.5,840.0,1137.5,0.0,0.0,0.0
5879670,1.83,9.15,-998.265,-883.75,770.0,1295.0,0.0,0.0,0.0
5880170,9.15,3.416,-994.91,-813.75,796.25,1163.75,0.0,0.0,0.0
5880670,4.514,4.3309999999999995,-1003.511,-1032.5,673.75,1268.75,0.0,0.0,0.0
5881269,4.453,4.3919999999999995,-994.91,-770.0,691.25,1365.0,0.0,0.0,0.0
5881684,3.294,7.442,-1005.707,-892.5,691.25,1268.75,0.0,0.0,0.0
5882170,7.137,6.466,-1008.818,-848.75,682.5,1260.0,0.0,0.0,0.0
5882670,2.867,5.3069999999999995,-999.18,-857.5,848.75,1312.5,0.0,0.0,0.0
5883170,8.052,12.871,-1004.975,-848.75,673.75,1076.25,0.0,0.0,0.0
5883670,3.1109999999999998,5.429,-1004.182,-866.25,857.5,1172.5,0.0,0.0,0.0
5884170,9.089,-1.159,-1008.757,-761.25,796.25,1207.5,0.0,0.0,0.0
5884670,5.734,1.037,-1000.156,-848.75,770.0,1435.0,0.0,0.0,0.0
5885270,8.54,2.684,-1001.01,-717.5,813.75,1120.0,0.0,0.0,0.0
5885686,8.113,3.904,-999.851,-866.25,892.5,1216.25,0.0,0.0,0.0
5886170,8.479,-1.708,-1000.095,-700.0,883.75,1198.75,0.0,0.0,0.0
5886670,-3.66,21.288999999999998,-983.93,-936.25,770.0,1093.75,0.0,0.0,0.0
5887170,9.333,3.294,-1004.06,-691.25,761.25,1277.5,0.0,0.0,0.0
5887670,3.1109999999999998,-5.3069999999999995,-995.947,-910.0,787.5,1260.0,0.0,0.0,0.0
5888170,12.078,-2.44,-1009.672,-831.25,726.25,1216.25,0.0,0.0,0.0
5888670,3.965,-1.464,-1015.04,-866.25,700.0,1277.5,0.0,0.0,0.0
5889269,4.758,9.089,-999.058,-708.75,743.75,1128.75,0.0,0.0,0.0
5889685,3.416,5.673,-987.651,-962.5,857.5,1225.0,0.0,0.0,0.0
5890170,9.15,3.66,-1007.781,-927.5,761.25,1216.25,0.0,0.0,0.0
5890670,7.625,5.185,-1011.746,-980.0,726.25,1198.75,0.0,0.0,0.0
5891170,9.455,5.429,-1001.925,-883.75,901.25,1242.5,0.0,0.0,0.0
5891670,7.808,2.074,-1006.5609999999999,-892.5,945.0,1268.75,0.0,0.0,0.0
5892170,12.322,4.941,-1004.06,-945.0,822.5,1242.5,0.0,0.0,0.0
5892670,5.612,2.745,-1004.6089999999999,-857.5,875.0,1233.75,0.0,0.0,0.0
5893270,9.882,-4.453,-1003.328,-752.5,813.75,1233.75,0.0,0.0,0.0
5893687,6.2829999999999995,3.5989999999999998,-998.204,-796.25,971.25,1321.25,0.0,0.0,0.0
5894170,9.577,3.721,-1004.304,-787.5,901.25,1251.25,0.0,0.0,0.0
5894670,6.1,3.355,-1002.6569999999999,-857.5,770.0,1172.5,0.0,0.0,0.0
5895170,9.455,3.965,-1005.5849999999999,-936.25,726.25,1102.5,0.0,0.0,0.0
5895670,2.928,2.867,-998.7529999999999,-813.75,630.0,1303.75,0.0,0.0,0.0
5896170,6.039,6.71,-996.9839999999999,-796.25,883.75,1242.5,0.0,0.0,0.0
5896670,6.954,5.856,-1001.01,-717.5,682.5,1303.75,0.0,0.0,0.0
5897170,5.795,5.063,-998.143,-892.5,656.25,1172.5,0.0,0.0,0.0
5897670,4.758,5.49,-1003.938,-822.5,857.5,1146.25,0.0,0.0,0.0
5898170,7.442,4.819,-1002.413,-822.5,892.5,1233.75,0.0,0.0,0.0
5898670,6.954,3.05,-1003.084,-700.0,796.25,1163.75,0.0,0.0,0.0
5899170,6.1,2.867,-1004.4259999999999,-901.25,805.0,1277.5,0.0,0.0,0.0
5899769,9.577,2.6229999999999998,-1001.986,-901.25,752.5,1146.25,0.0,0.0,0.0
5900185,4.148,0.244,-1003.206,-962.5,735.0,1225.0,0.0,0.0,0.0
5900670,9.15,6.893,-1002.6569999999999,-822.5,761.25,1137.5,0.0,0.0,0.0
5901170,11.651,-0.488,-1000.4,-910.0,770.0,1155.0,0.0,0.0,0.0
5901670,6.161,6.405,-994.117,-708.75,901.25,1233.75,0.0,0.0,0.0
5902170,4.087,4.636,-1007.1709999999999,-831.25,831.25,1365.0,0.0,0.0,0.0
5902670,7.1979999999999995,2.867,-1002.779,-805.0,875.0,1356.25,0.0,0.0,0.0
5903170,6.405,5.3069999999999995,-997.9599999999999,-988.75,875.0,1233.75,0.0,0.0,0.0
5903769,6.832,2.379,-1000.3389999999999,-831.25,875.0,1172.5,0.0,0.0,0.0
5904186,8.052,3.782,-998.7529999999999,-962.5,752.5,1207.5,0.0,0.0,0.0
5904670,7.503,4.941,-997.228,-735.0,717.5,1111.25,0.0,0.0,0.0
5905170,4.026,3.05,-1000.7049999999999,-927.5,770.0,1137.5,0.0,0.0,0.0
5905670,8.113,3.538,-1001.559,-700.0,691.25,1155.0,0.0,0.0,0.0
5906269,5.2459999999999996,6.161,-999.912,-945.0,936.25,1268.75,0.0,0.0,0.0
5906684,7.015,2.745,-1001.559,-691.25,840.0,1312.5,0.0,0.0,0.0
5907171,9.76,7.564,-998.997,-778.75,1058.75,1295.0,0.0,0.0,0.0
5907670,6.2219999999999995,3.66,-1001.132,-796.25,726.25,1181.25,0.0,0.0,0.0
5908170,9.15,3.233,-1003.6329999999999,-918.75,813.75,1312.5,0.0,0.0,0.0
5908670,7.503,4.758,-1000.583,-813.75,831.25,1198.75,0.0,0.0,0.0
5909170,6.039,3.416,-1000.7049999999999,-953.75,708.75,1137.5,0.0,0.0,0.0
5909670,6.466,4.3309999999999995,-1002.2909999999999,-805.0,796.25,1277.5,0.0,0.0,0.0
5910269,6.1,0.732,-1005.646,-813.75,953.75,1216.25,0.0,0.0,0.0
5910685,6.161,1.769,-1000.278,-752.5,743.75,1286.25,0.0,0.0,0.0
5911170,7.076,2.745,-1000.766,-945.0,805.0,1242.5,0.0,0.0,0.0
5911670,5.978,4.88,-1000.461,-770.0,778.75,1172.5,0.0,0.0,0.0
5912170,5.612,4.941,-1005.036,-848.75,691.25,1137.5,0.0,0.0,0.0
5912670,9.211,1.403,-1001.376,-805.0,673.75,1286.25,0.0,0.0,0.0
5913170,8.967,-0.5489999999999999,-996.679,-901.25,665.0,1277.5,0.0,0.0,0.0
5913670,9.15,1.342,-999.302,-1032.5,717.5,1128.75,0.0,0.0,0.0
5914170,7.137,4.209,-999.607,-1006.25,630.0,1102.5,0.0,0.0,0.0
5914670,7.015,3.1719999999999997,-1002.6569999999999,-918.75,691.25,1093.75,0.0,0.0,0.0
5915170,7.503,3.416,-1003.206,-866.25,822.5,1163.75,0.0,0.0,0.0
5915670,7.076,2.013,-1003.2669999999999,-840.0,700.0,1198.75,0.0,0.0,0.0
5916170,8.296,2.562,-1003.389,-831.25,857.5,1295.0,0.0,0.0,0.0
5916670,6.161,3.416,-1001.437,-822.5,796.25,1198.75,0.0,0.0,0.0
